goalTime,epochScnds,"Tottenham Hotspur
 Pts","Liverpool
 Pts","Swansea City
 Pts","Aston Villa
 Pts","Manchester City
 Pts","Stoke City
 Pts","Sunderland
 Pts","Newcastle United
 Pts","West Ham United
 Pts","Norwich City
 Pts","Bournemouth
 Pts","Crystal Palace
 Pts","Southampton
 Pts","Leicester City
 Pts","Watford
 Pts","West Bromwich Albion
 Pts","Arsenal
 Pts","Chelsea
 Pts","Manchester United
 Pts","Everton
 Pts"
2015-08-08 11:44:58,1439030698,5,6,8,17,2,9,16,15,12,20,18,10,7,14,19,13,3,1,4,11
2015-08-08 11:44:59,1439030699,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
2015-08-08 11:45:00,1439030700,1.191919,0.191919,0.191919,0.191919,0.191919,0.191919,0.191919,0.191919,0.191919,0.191919,0.191919,0.191919,0.191919,0.191919,0.191919,0.191919,0.191919,0.191919,1.191919,0.191919
2015-08-08 12:06:35,1439031995,0.0018,0.181819,0.181819,0.181819,0.181819,0.181819,0.181819,0.181819,0.181819,0.181819,0.181819,0.181819,0.181819,0.181819,0.181819,0.181819,0.181819,0.181819,3.191919,0.181819
2015-08-08 15:00:00,1439042400,0.0018,0.181819,0.181819,1.181819,0.181819,0.181819,1.181819,0.181819,0.181819,1.181819,1.181819,1.181819,0.181819,1.181819,1.181819,0.181819,0.181819,0.181819,3.191919,1.181819
2015-08-08 15:10:19,1439043019,0.011701,0.171719,0.171719,1.171719,0.171719,0.171719,0.011701,0.171719,0.171719,1.171719,1.171719,1.171719,0.171719,3.191919,1.171719,0.171719,0.171719,0.171719,3.191919,1.171719
2015-08-08 15:13:07,1439043187,0.021602,0.161619,0.161619,1.161619,0.161619,0.161619,0.021602,0.161619,0.161619,1.161619,1.161619,1.161619,0.161619,3.191919,3.191919,0.161619,0.161619,0.161619,3.191919,0.021602
2015-08-08 15:17:46,1439043466,0.021602,0.161619,0.161619,1.161619,0.161619,0.161619,0.0016,0.161619,0.161619,1.161619,1.161619,1.161619,0.161619,3.191919,3.181819,0.161619,0.161619,0.161619,3.181819,0.021602
2015-08-08 15:24:28,1439043868,0.021602,0.161619,0.161619,1.161619,0.161619,0.161619,0.0016,0.161619,0.161619,1.161619,1.161619,1.161619,0.161619,3.191919,3.181819,0.161619,0.161619,0.161619,3.181819,0.021602
2015-08-08 15:38:03,1439044683,0.031503,0.151519,0.151519,1.151519,0.151519,0.151519,0.0015,0.151519,0.151519,0.031503,1.151519,3.181819,0.151519,3.191919,3.181819,0.151519,0.151519,0.151519,3.181819,0.031503
2015-08-08 16:06:03,1439046363,0.031503,0.151519,0.151519,1.151519,0.151519,0.151519,0.0015,0.151519,0.151519,0.011501,1.151519,3.181819,0.151519,3.191919,3.171719,0.151519,0.151519,0.151519,3.171719,0.031503
2015-08-08 16:18:04,1439047084,0.031404,0.151419,0.151419,1.151419,0.151419,0.151419,0.0117,0.151419,0.151419,0.011401,1.151419,3.191819,0.151419,3.191904,3.171719,0.151419,0.151419,0.151419,3.171719,0.031404
2015-08-08 16:23:33,1439047413,0.031404,0.151419,0.151419,1.151419,0.151419,0.151419,0.0017,0.151419,0.151419,0.011401,1.151419,3.181819,0.151419,3.191904,3.171719,0.151419,0.151419,0.151419,3.171719,0.031404
2015-08-08 16:25:11,1439047511,0.031305,0.151319,0.151319,1.151319,0.151319,0.151319,0.0017,0.151319,0.151319,0.031701,1.151319,3.181805,0.151319,3.191905,3.181719,0.151319,0.151319,0.151319,3.181719,0.031305
2015-08-08 16:28:25,1439047705,0.041206,0.141219,0.141219,3.181719,0.141219,0.141219,0.0017,0.141219,0.141219,0.041701,0.041206,3.181806,0.141219,3.191906,3.181719,0.141219,0.141219,0.141219,3.181719,0.041206
2015-08-08 16:28:27,1439047707,0.041206,0.141219,0.141219,3.181619,0.141219,0.141219,0.0018,0.141219,0.141219,0.041602,0.041206,3.181806,0.141219,3.191902,3.181619,0.141219,0.141219,0.141219,3.181619,0.041206
2015-08-08 16:30:00,1439047800,0.041206,0.141219,1.141219,3.181619,0.141219,0.141219,0.0018,0.141219,0.141219,0.041602,0.041206,3.181806,0.141219,3.191902,3.181619,0.141219,0.141219,1.141219,3.181619,0.041206
2015-08-08 16:32:26,1439047946,0.031107,0.151119,1.151119,3.181619,0.151119,0.151119,0.0018,0.151119,0.151119,0.031602,0.031107,3.181807,0.151119,3.191902,1.151607,0.151119,0.151119,1.151119,3.181619,1.151607
2015-08-08 16:39:55,1439048395,0.041107,0.141119,1.141119,3.181519,0.141119,0.141119,0.0018,0.141119,0.141119,0.041503,0.041107,3.181807,0.141119,3.191903,3.181807,0.141119,0.141119,1.141119,3.181519,0.041503
2015-08-08 16:42:57,1439048577,0.031107,0.151119,1.151119,3.181419,0.151119,0.151119,0.0018,0.151119,0.151119,0.031404,0.031107,3.181807,0.151119,3.191904,1.151804,0.151119,0.151119,1.151119,3.181419,1.151804
2015-08-08 16:50:41,1439049041,0.031107,0.151119,1.151119,3.171419,0.151119,0.151119,0.0117,0.151119,0.151119,0.011401,0.031107,3.191807,0.151119,3.191904,1.151704,0.151119,0.151119,1.151119,3.171419,1.151704
2015-08-08 16:52:09,1439049129,0.041008,0.141019,0.041008,3.171419,0.141019,0.141019,0.0117,0.141019,0.141019,0.011401,0.041008,3.191808,0.141019,3.191904,1.141704,0.141019,0.141019,3.171419,3.171419,1.141704
2015-08-08 16:58:18,1439049498,0.030909,0.150919,1.151409,3.171419,0.150919,0.150919,0.0117,0.150919,0.150919,0.011401,0.030909,3.191809,0.150919,3.191904,1.151704,0.150919,0.150919,1.151409,3.171419,1.151704
2015-08-08 16:59:53,1439049593,0.040909,0.140919,0.041305,3.171319,0.140919,0.140919,0.0117,0.140919,0.140919,0.011301,0.040909,3.191809,0.140919,3.191905,1.141705,0.140919,0.140919,3.171709,3.171319,1.141705
