goalTime,epochScnds,"Chelsea
Pts","Chelsea
F","Chelsea
A","Chelsea
GD","Manchester City
Pts","Manchester City
F","Manchester City
A","Manchester City
GD","Arsenal
Pts","Arsenal
F","Arsenal
A","Arsenal
GD","Manchester United
Pts","Manchester United
F","Manchester United
A","Manchester United
GD","Tottenham Hotspur
Pts","Tottenham Hotspur
F","Tottenham Hotspur
A","Tottenham Hotspur
GD","Liverpool
Pts","Liverpool
F","Liverpool
A","Liverpool
GD","Southampton
Pts","Southampton
F","Southampton
A","Southampton
GD","Swansea City
Pts","Swansea City
F","Swansea City
A","Swansea City
GD","Stoke City
Pts","Stoke City
F","Stoke City
A","Stoke City
GD","Crystal Palace
Pts","Crystal Palace
F","Crystal Palace
A","Crystal Palace
GD","Everton
Pts","Everton
F","Everton
A","Everton
GD","West Ham United
Pts","West Ham United
F","West Ham United
A","West Ham United
GD","West Bromwich Albion
Pts","West Bromwich Albion
F","West Bromwich Albion
A","West Bromwich Albion
GD","Leicester City
Pts","Leicester City
F","Leicester City
A","Leicester City
GD","Newcastle United
Pts","Newcastle United
F","Newcastle United
A","Newcastle United
GD","Sunderland
Pts","Sunderland
F","Sunderland
A","Sunderland
GD","Aston Villa
Pts","Aston Villa
F","Aston Villa
A","Aston Villa
GD","Bournemouth
Pts","Bournemouth
F","Bournemouth
A","Bournemouth
GD","Watford
Pts","Watford
F","Watford
A","Watford
GD","Norwich City
Pts","Norwich City
F","Norwich City
A","Norwich City
GD"
2015-08-08 11:44:58,1439030698,1,0,0,0,2,0,0,0,3,0,0,0,4,0,0,0,5,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0,9,0,0,0,10,0,0,0,11,0,0,0,12,0,0,0,13,0,0,0,14,0,0,0,15,0,0,0,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0
2015-08-08 11:44:59,1439030699,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0
2015-08-08 11:45:00,1439030700,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-08 12:06:35,1439031995,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-08 15:00:00,1439042400,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2015-08-08 15:10:19,1439043019,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,1,-1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2015-08-08 15:13:07,1439043187,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,1,-1,1,0,0,0,1,0,0,0,3,1,0,1,1,0,0,0
2015-08-08 15:17:46,1439043466,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,2,-2,1,0,0,0,1,0,0,0,3,1,0,1,1,0,0,0
2015-08-08 15:24:28,1439043868,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,3,-3,1,0,0,0,1,0,0,0,3,1,0,1,1,0,0,0
2015-08-08 15:38:03,1439044683,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,3,-3,1,0,0,0,1,0,0,0,3,1,0,1,0,0,1,-1
